# r_mpc dsigma dsigma_err
0.06650067707314013 101.60263783196852 10.230116231520107
0.11763544306061538 67.90980797681597 5.2456047429240025
0.20808957251439084 49.966243648964074 3.7107293317864625
0.36809714030583096 25.429865774827213 1.9684743284862243
0.6511402905206131 13.94863450069048 1.1878555050576314
1.1518255142840947 8.921684110149183 0.6096704412084578
2.037505641518615 3.4586331527318275 0.31642195055612626
3.6042171212021312 2.529941979200181 0.24787833865275055
6.375629491305088 1.5539104010206228 0.21304434421614918
11.278080660368612 0.9443102043583316 0.19063858511102272
