7.093000000000000693e-02 8.967137999999999920e+01 2.341075604849346092e+01
1.252999999999999947e-01 3.694322999999999979e+01 1.377686080500131638e+01
2.215699999999999892e-01 3.386939000000000277e+01 7.724069565431635809e+00
3.919400000000000106e-01 2.327456000000000103e+01 4.336493904451758752e+00
6.946299999999999697e-01 1.905809999999999960e+01 2.472833592388246959e+00
1.228599999999999914e+00 8.886350000000000193e+00 1.490760611029006810e+00
2.173500000000000210e+00 4.860477000000000380e+00 9.969471748012640466e-01
3.845800000000000107e+00 1.668708000000000080e+00 5.170300570884791558e-01
6.798300000000000232e+00 1.099605000000000166e+00 4.269454255294736766e-01
1.200300000000000011e+01 4.883000000000000118e-01 3.129771629468697247e-01
