#r_mpc dsigma_unblind dsigma_err
0.06650067707314013 95.2725586506146 12.828722947115022
0.11763544306061538 61.56347351374183 6.893155783510107
0.20808957251439084 43.2071454845066 4.366041011135156
0.36809714030583096 24.83792932119825 3.1658199519018813
0.6511402905206131 15.569478802112418 1.7532836667059282
1.1518255142840947 9.257698178206955 1.0221866426564667
2.037505641518615 4.802311933922385 0.5801980893017229
3.6042171212021312 1.8674206874387302 0.48976943129164213
6.375629491305088 1.6156055961298155 0.2163808547108114
11.278080660368612 0.7313030368378259 0.23331440709217824
