7.085400000000000031e-02 9.132769999999999300e+01 2.563332499826316280e+01
1.249099999999999933e-01 5.915999999999999659e+01 1.682220920091046068e+01
2.214099999999999957e-01 4.572334000000000032e+01 9.410333972368984945e+00
3.915799999999999836e-01 3.514730000000000132e+01 6.109859884587669043e+00
6.939300000000000468e-01 1.710161000000000087e+01 3.379749510714991967e+00
1.228099999999999969e+00 7.550939999999999763e+00 1.800397063696504318e+00
2.174199999999999910e+00 3.124127999999999794e+00 1.101910191526398908e+00
3.846299999999999830e+00 3.226755999999999958e+00 6.982384310423594975e-01
6.801999999999999602e+00 1.432834999999999859e+00 4.896246913319881600e-01
1.201500000000000057e+01 1.271635999999999989e+00 3.550118411291394160e-01
