# rp  DS  DS_err
6.922340000000000437e-02 8.153478222653333773e+01 8.137609643336253029e+00
1.224520000000000053e-01 6.499001824510411041e+01 4.849473219763293486e+00
2.166089999999999960e-01 4.127689041566780048e+01 3.315293439379938700e+00
3.831680000000000086e-01 2.945415050369774690e+01 1.517790054836374969e+00
6.777999999999999581e-01 1.645262978602704962e+01 8.924246818009720084e-01
1.198979999999999935e+00 8.434296906907460922e+00 4.826126905279272128e-01
2.120929999999999982e+00 4.543524222691071479e+00 3.248694010203735383e-01
3.751780000000000115e+00 2.327373282609714877e+00 1.777721631357076504e-01
6.636669999999999625e+00 1.278521823680472735e+00 1.128978313866783600e-01
1.173980000000000068e+01 7.712743654171425600e-01 6.858671440510706596e-02
