#r_mpc dsigma dsigma_err
0.06650067707314013 127.66179251496018 14.497151142360378
0.11763544306061538 95.21621691544858 8.461778399815275
0.20808957251439084 55.50185158044817 3.454651267958781
0.36809714030583096 32.621102473627445 2.2044976500047486
0.6511402905206131 20.572983413749093 1.7542377567380503
1.1518255142840947 10.293113865722674 0.7144153029384447
2.037505641518615 4.9959190829791424 0.5598999541330862
3.6042171212021312 2.8973844494702368 0.5480872361922002
6.375629491305088 1.826049712056071 0.28711315547732746
11.278080660368612 1.3985662552180107 0.2140673199308666
