#r_mpc dsigma_unblind dsigma_err
0.06650067707314013 72.45565307641677 41.197601374998925
0.11763544306061538 65.31480757212418 24.40202460616096
0.20808957251439084 36.4818801943946 11.95956493099747
0.36809714030583096 33.53338018813665 6.311999336678505
0.6511402905206131 20.329967035135763 3.360223872138449
1.1518255142840947 8.611594716504294 1.925290351062219
2.037505641518615 3.1981158702612706 1.238194679968073
3.6042171212021312 2.5078881024746082 0.6325132128740385
6.375629491305088 -0.0723792120306179 0.47072242159571076
11.278080660368612 0.8615716578777485 0.296527144030371
