# r_mpc dsigma dsigma_err
0.06650067707314013 103.49365032860918 9.60987620566095
0.11763544306061538 70.84851043035816 5.559451855651563
0.20808957251439084 44.13312960719913 2.9154908090484914
0.36809714030583096 29.033003693252674 2.0444871309077217
0.6511402905206131 16.566961920675258 1.2465411222015126
1.1518255142840947 11.132194645772797 0.9896590851841426
2.037505641518615 5.1962350382741285 0.532649559309407
3.6042171212021312 2.477109595017375 0.2830508997823619
6.375629491305088 1.1663285590550865 0.22945597762942319
11.278080660368612 0.6918743063373773 0.25234827369463275
