# r_mpc dsigma dsigma_err
0.06650067707314013 102.66810484872562 8.90620348099211
0.11763544306061538 69.76565602640778 5.318205171719227
0.20808957251439084 43.44347584667107 2.8352083435479307
0.36809714030583096 28.210106803023706 1.9881755382946549
0.6511402905206131 16.19036249868324 1.1999466784588497
1.1518255142840947 10.778915827221514 0.9515146768627633
2.037505641518615 5.135671539229876 0.5201011351759488
3.6042171212021312 2.465380873456795 0.27879198583609527
6.375629491305088 1.1539376843937665 0.22861883317340786
11.278080660368612 0.6500939160829948 0.24644016113601117
