r_mpc dsigma dsigma_err
0.06650067707314013 91.2619496417977 18.52432356173056
0.11763544306061538 71.02310476626978 9.620036822383508
0.20808957251439084 53.39506150603632 6.033950921773225
0.36809714030583096 26.58640370541166 3.441891994303784
0.6511402905206131 15.994098534996741 2.5662287519636946
1.1518255142840947 8.870017015681595 1.1292662615778744
2.037505641518615 4.523132707401395 0.5748413335634984
3.6042171212021312 2.5198801671915296 0.6338214780761593
6.375629491305088 2.1455389657712054 0.40572908953730186
11.278080660368612 1.3504519602400704 0.4670901448526248
