# rp  DS  DS_err
6.922340000000000437e-02 9.446017022296837240e+01 1.736388366001992978e+01
1.224520000000000053e-01 7.171896108349487520e+01 1.036484229204009822e+01
2.166089999999999960e-01 4.409280250711332627e+01 5.434374169658434006e+00
3.831680000000000086e-01 2.835812219208365548e+01 3.382655541399407717e+00
6.777999999999999581e-01 1.738615070213135638e+01 1.383810412479169916e+00
1.198979999999999935e+00 9.518699443163763263e+00 9.631576718471598353e-01
2.120929999999999982e+00 4.799709803518026341e+00 5.711575545557422418e-01
3.751780000000000115e+00 2.120697346816038831e+00 2.915762393546536546e-01
6.636669999999999625e+00 1.382574309975187266e+00 1.974404898415763887e-01
1.173980000000000068e+01 7.352032172512501518e-01 1.283229836071057284e-01
