7.085299999999999931e-02 9.331869999999999266e+01 2.583060739031993336e+01
1.249099999999999933e-01 5.843999999999999773e+01 1.677434559315586071e+01
2.214000000000000135e-01 4.565433999999999770e+01 9.402078891139931116e+00
3.915799999999999836e-01 3.544330000000000069e+01 6.128320493131088398e+00
6.939300000000000468e-01 1.713361000000000089e+01 3.395079304034034795e+00
1.228099999999999969e+00 7.490540000000000198e+00 1.798919694523835267e+00
2.174199999999999910e+00 3.130427999999999766e+00 1.099332781873327169e+00
3.846299999999999830e+00 3.264555999999999791e+00 6.986803133322171400e-01
6.802100000000000257e+00 1.437934999999999963e+00 4.901330829527665855e-01
1.201500000000000057e+01 1.272035999999999945e+00 3.588289479734356746e-01
