# # <R> [Mpc]	DeltaSigma_t [M_sun / pc^2]	DeltaSigma_t_err [M_sun / pc^2]	DeltaSigma_x [M_sun / pc^2]	DeltaSigma_x_err [M_sun / pc^2
7.050037584049649586e-02 8.761314207456692316e+01 2.634274111962865561e+01 -1.650133938101895481e+01 2.214535944683445479e+01
1.255626560371551903e-01 4.450968046341914430e+01 1.477971954831702028e+01 9.879946137745175605e+00 1.334509424071770312e+01
2.214951734621742052e-01 3.564636537811674799e+01 8.253978077453723472e+00 4.147330586679827569e+00 7.801305630045845874e+00
3.925070384597566520e-01 2.200070099932417733e+01 3.798775107963171305e+00 7.783233220676674335e+00 4.758825364797868218e+00
6.945709923708608402e-01 1.264412742852096194e+01 2.328058640824401948e+00 2.982793241306818555e+00 2.731188225467596542e+00
1.229674588347906328e+00 6.499786860398577559e+00 1.765092947860600114e+00 8.426760160588154802e-01 1.449963312202099841e+00
2.175548408179805993e+00 4.273811708434010370e+00 9.442595972611550481e-01 -2.401519348819663446e-01 8.266562622964529483e-01
3.846668231386726422e+00 1.602844402722444217e+00 5.143393027115427119e-01 3.788586131169515703e-01 5.669819155014150791e-01
6.801742451777010423e+00 9.702288447781294289e-01 4.348428640135744705e-01 1.678879950958782896e-01 3.765551204553984621e-01
1.202200028604885595e+01 3.777601052345671007e-01 3.009965940087549474e-01 3.040846747020529151e-01 2.078875961538187156e-01
