#r_mpc dsigma_unblind dsigma_err
0.06650067707314013 96.09674219119782 24.92844186149872
0.11763544306061538 59.38833255183213 17.84150693548904
0.20808957251439084 41.33672884423326 7.055593201390699
0.36809714030583096 16.739531709414262 4.569026528837158
0.6511402905206131 12.548590522912358 2.7871521130444243
1.1518255142840947 6.424142589928435 1.755658346205348
2.037505641518615 4.816490415555432 1.0238634270816873
3.6042171212021312 1.8714676486090742 0.5222043234399404
6.375629491305088 0.6141349815029645 0.37663720762276925
11.278080660368612 0.5409552205667657 0.23719261779950132
