#r_mpc dsigma_unblind dsigma_err
0.06650067707314013 76.36476640034319 41.06272753519565
0.11763544306061538 65.47468755012528 24.555869482464168
0.20808957251439084 37.604071263443515 12.026939907849188
0.36809714030583096 33.661755020045646 6.281220181192659
0.6511402905206131 20.435773986441774 3.3261963263942373
1.1518255142840947 8.647283463191112 1.9596327236298028
2.037505641518615 3.3051610944109338 1.2361717073268654
3.6042171212021312 2.4458137666227224 0.631299606455547
6.375629491305088 -0.06637273527100408 0.4760751241370441
11.278080660368612 0.853831281309667 0.2955519523825372
