# # <R> [Mpc]	DeltaSigma_t [M_sun / pc^2]	DeltaSigma_t_err [M_sun / pc^2]	DeltaSigma_x [M_sun / pc^2]	DeltaSigma_x_err [M_sun / pc^2
7.047489089983033361e-02 8.240591984878847143e+01 2.742389740422462552e+01 -2.003184808427156938e+01 2.418418153840299922e+01
1.254437404423425495e-01 4.780930505443000555e+01 1.509311277647157468e+01 7.546481066422193074e+00 1.508719665664156651e+01
2.214445348727620833e-01 3.737237151723501682e+01 8.329204095358175408e+00 7.213791523217099488e+00 7.775121638346243813e+00
3.924991384531312799e-01 2.234722647000122464e+01 3.916758661884616188e+00 8.356142632804482773e+00 4.806572413349330830e+00
6.945281457376186740e-01 1.303017470062177985e+01 2.352213381644721935e+00 2.299013963744473532e+00 2.864387440699523335e+00
1.229683684525247678e+00 6.722813240632997456e+00 1.760733897909426249e+00 8.682841656142287201e-01 1.504436798665592878e+00
2.175381599861785809e+00 4.496220077160883122e+00 9.947673686561284701e-01 6.766167562576800264e-03 8.224195680759223137e-01
3.846594675879581260e+00 1.516655751755816794e+00 5.149642995249813504e-01 4.635449391989361900e-01 5.695146196735443311e-01
6.801624316053056063e+00 1.090936711398270198e+00 4.332998601726976706e-01 4.601949152276296057e-02 3.813689132616762123e-01
1.202175648607173919e+01 4.237334375789138519e-01 3.067409938966623173e-01 2.897767049830419772e-01 2.117655887102221912e-01
