# # <R> [Mpc]	DeltaSigma_t [M_sun / pc^2]	DeltaSigma_t_err [M_sun / pc^2]	DeltaSigma_x [M_sun / pc^2]	DeltaSigma_x_err [M_sun / pc^2
7.042678296559717888e-02 1.196571437808332519e+02 2.154262513666270351e+01 1.570291613959231469e+01 2.463653994309138184e+01
1.251947023754078903e-01 6.605395859468757180e+01 1.038327388709447163e+01 -7.861689945580641492e+00 1.331184089367928358e+01
2.215554215798792581e-01 4.213434031993985940e+01 7.685027055899386283e+00 2.330787700402261908e+00 7.219609009703180647e+00
3.929175157608936209e-01 2.878439500062891909e+01 4.343532760809020843e+00 -3.510395205539552865e+00 4.219577333280566833e+00
6.947716473900489298e-01 1.721076074532917133e+01 2.500544757808077279e+00 -1.957165911424790794e+00 2.463273283976129324e+00
1.229300538806870513e+00 7.618043685762025952e+00 1.456117334375273575e+00 5.461573791608491657e-01 1.303188524576860408e+00
2.175097264458901503e+00 4.497763222520572590e+00 7.772724366180301381e-01 6.894374748086754545e-01 9.453412236719438422e-01
3.845618837181717709e+00 1.712418409936112829e+00 5.794392762929591045e-01 4.333742983499705437e-01 4.719404082981141779e-01
6.800425586172760717e+00 1.532746102798444587e+00 3.867243880202369533e-01 2.263770312104006199e-02 2.679676115866432284e-01
1.200982939202415167e+01 1.205944371892004652e+00 3.638625305420766232e-01 9.141934488879344123e-04 2.502923144229700081e-01
