#r_mpc dsigma dsigma_err
0.06650067707314013 132.59916861799962 22.186809075523442
0.11763544306061538 80.77146287445318 10.8032443352813
0.20808957251439084 40.30197411743048 6.81656124637103
0.36809714030583096 38.95593997669322 3.4472082567881417
0.6511402905206131 16.756519521715354 1.4943325545312225
1.1518255142840947 10.3325870603601 1.7063678465227226
2.037505641518615 3.7355448414242063 0.9600002879826689
3.6042171212021312 2.4586200546698485 0.6784133579503216
6.375629491305088 2.2604219661995164 0.5105801061884113
11.278080660368612 1.3504935251496617 0.40397818495864396
