#r_mpc dsigma_unblind dsigma_err
0.06650067707314013 94.6952643806326 12.928029402856462
0.11763544306061538 61.34148649322204 7.0697824179175335
0.20808957251439084 43.0335194836066 4.3768545692559995
0.36809714030583096 25.239974342821842 3.17745422569481
0.6511402905206131 15.54856826724967 1.7212127186787407
1.1518255142840947 9.169559504277187 1.013984522116254
2.037505641518615 4.795547995110557 0.5813469669624148
3.6042171212021312 1.8874723758056529 0.489499797355314
6.375629491305088 1.6069092684089616 0.21167822758341648
11.278080660368612 0.741391802968097 0.23302062469713444
